<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
17/12/18,000000,3645.0000000,3688.5000000,3634.5000000,3671.5000000,182390
18/12/18,000000,3662.5000000,3730.0000000,3605.0000000,3725.0000000,305193
19/12/18,000000,3710.0000000,3720.0000000,3673.5000000,3675.0000000,254925
20/12/18,000000,3540.0000000,3594.0000000,3526.5000000,3565.0000000,370542
21/12/18,000000,3554.5000000,3574.0000000,3537.0000000,3537.0000000,217171
24/12/18,000000,3531.0000000,3548.5000000,3493.0000000,3503.5000000,100235
25/12/18,000000,3485.0000000,3490.0000000,3310.0000000,3439.5000000,208868
26/12/18,000000,3442.0000000,3498.0000000,3428.5000000,3491.5000000,186480
27/12/18,000000,3518.0000000,3537.0000000,3429.0000000,3440.0000000,233953
28/12/18,000000,3454.0000000,3494.0000000,3444.0000000,3475.0000000,115054
29/12/18,000000,3478.0000000,3536.5000000,3473.0000000,3511.5000000,68588
03/01/19,000000,3511.5000000,3596.5000000,3482.0000000,3576.0000000,221513
04/01/19,000000,3590.0000000,3652.5000000,3580.0000000,3600.0000000,258406
08/01/19,000000,3602.5000000,3688.0000000,3563.0000000,3680.0000000,232366
09/01/19,000000,3679.0000000,3750.0000000,3661.0000000,3698.5000000,252801
10/01/19,000000,3703.0000000,3838.5000000,3699.0000000,3830.0000000,423249
11/01/19,000000,3830.5000000,3897.0000000,3816.0000000,3827.0000000,370716
14/01/19,000000,3819.0000000,3819.0000000,3756.5000000,3790.5000000,188090
15/01/19,000000,3812.5000000,3930.0000000,3806.0000000,3920.0000000,459913
16/01/19,000000,3930.5000000,3999.0000000,3930.5000000,3970.0000000,377556
17/01/19,000000,4000.0000000,4166.5000000,3992.5000000,4155.0000000,971030
18/01/19,000000,4182.0000000,4232.0000000,4110.0000000,4152.0000000,586706
21/01/19,000000,4170.0000000,4267.5000000,4112.0000000,4140.0000000,634536
22/01/19,000000,4132.0000000,4228.0000000,4112.5000000,4200.0000000,428278
23/01/19,000000,4219.0000000,4328.0000000,4191.5000000,4300.0000000,554050
24/01/19,000000,4317.0000000,4425.0000000,4240.0000000,4256.0000000,698528
25/01/19,000000,4280.0000000,4284.5000000,4140.0000000,4191.0000000,580989
28/01/19,000000,4221.5000000,4229.5000000,4115.0000000,4147.0000000,293665
29/01/19,000000,4160.0000000,4211.5000000,4124.0000000,4188.0000000,245994
30/01/19,000000,4195.5000000,4209.5000000,4150.0000000,4164.0000000,156003
31/01/19,000000,4200.5000000,4220.0000000,4105.5000000,4155.0000000,364963
01/02/19,000000,4151.5000000,4187.0000000,4117.5000000,4133.0000000,168709
04/02/19,000000,4144.0000000,4167.0000000,4122.5000000,4130.0000000,207705
05/02/19,000000,4135.0000000,4155.0000000,4040.0000000,4054.0000000,299418
06/02/19,000000,4055.0000000,4059.5000000,4000.5000000,4025.5000000,335129
07/02/19,000000,4022.5000000,4155.0000000,4010.5000000,4029.5000000,592169
08/02/19,000000,4027.0000000,4099.5000000,4020.0000000,4039.5000000,386727
11/02/19,000000,4060.0000000,4074.0000000,4015.0000000,4035.0000000,199350
12/02/19,000000,4048.0000000,4094.0000000,4015.0000000,4035.0000000,339870
13/02/19,000000,4036.5000000,4054.5000000,3944.0000000,3988.0000000,483855
14/02/19,000000,3967.0000000,4017.5000000,3895.5000000,3895.5000000,530477
15/02/19,000000,3914.5000000,3952.5000000,3844.5000000,3896.0000000,411189
18/02/19,000000,3920.0000000,3947.0000000,3871.0000000,3910.0000000,204154
19/02/19,000000,3915.0000000,3934.5000000,3860.5000000,3900.0000000,194481
20/02/19,000000,3907.5000000,3954.0000000,3907.5000000,3950.0000000,274046
21/02/19,000000,3960.5000000,3990.0000000,3944.0000000,3945.5000000,236539
22/02/19,000000,3938.5000000,3985.0000000,3933.0000000,3962.5000000,270933
25/02/19,000000,3980.0000000,3992.5000000,3911.0000000,3922.5000000,155513
26/02/19,000000,3911.0000000,3938.5000000,3850.0000000,3875.5000000,169200
27/02/19,000000,3894.0000000,3899.5000000,3790.5000000,3803.0000000,254768
28/02/19,000000,3810.0000000,3814.0000000,3776.0000000,3780.0000000,243464
01/03/19,000000,3794.0000000,3920.5000000,3782.5000000,3904.0000000,385313
04/03/19,000000,3916.5000000,3959.5000000,3850.0000000,3860.0000000,196258
05/03/19,000000,3859.0000000,3905.0000000,3832.5000000,3900.0000000,198916
06/03/19,000000,3912.5000000,3939.0000000,3845.5000000,3859.0000000,240817
07/03/19,000000,3866.0000000,3909.0000000,3827.0000000,3850.0000000,181690
11/03/19,000000,3848.0000000,3880.0000000,3776.0000000,3801.5000000,203428
12/03/19,000000,3814.5000000,3837.5000000,3787.5000000,3790.0000000,164980
13/03/19,000000,3797.0000000,3830.0000000,3757.0000000,3830.0000000,216748
